2025-04-07 00:28:24.710 | ID: 33 | Cor: AZUL | Tipo: SEDAN | Estação: 1 | Funcionário: 4 | Posição na Esteira da Fábrica: 2 | Loja: Loja-1 | Posição na Esteira da Loja: 11
2025-04-07 00:28:24.726 | ID: 32 | Cor: VERDE | Tipo: SUV | Estação: 2 | Funcionário: 4 | Posição na Esteira da Fábrica: 2 | Loja: Loja-2 | Posição na Esteira da Loja: 11
2025-04-07 00:28:24.802 | ID: 30 | Cor: AZUL | Tipo: SUV | Estação: 3 | Funcionário: 4 | Posição na Esteira da Fábrica: 2 | Loja: Loja-3 | Posição na Esteira da Loja: 10
2025-04-07 00:28:24.913 | ID: 31 | Cor: VERMELHO | Tipo: SEDAN | Estação: 4 | Funcionário: 4 | Posição na Esteira da Fábrica: 2 | Loja: Loja-1 | Posição na Esteira da Loja: 12
2025-04-07 00:28:24.927 | ID: 35 | Cor: VERDE | Tipo: SEDAN | Estação: 1 | Funcionário: 1 | Posição na Esteira da Fábrica: 1 | Loja: Loja-2 | Posição na Esteira da Loja: 12
2025-04-07 00:28:25.006 | ID: 39 | Cor: AZUL | Tipo: SEDAN | Estação: 2 | Funcionário: 2 | Posição na Esteira da Fábrica: 1 | Loja: Loja-3 | Posição na Esteira da Loja: 11
2025-04-07 00:28:25.114 | ID: 34 | Cor: VERMELHO | Tipo: SUV | Estação: 3 | Funcionário: 3 | Posição na Esteira da Fábrica: 2 | Loja: Loja-1 | Posição na Esteira da Loja: 13
2025-04-07 00:28:25.130 | ID: 38 | Cor: VERDE | Tipo: SUV | Estação: 4 | Funcionário: 2 | Posição na Esteira da Fábrica: 1 | Loja: Loja-2 | Posição na Esteira da Loja: 13
2025-04-07 00:28:25.209 | ID: 36 | Cor: AZUL | Tipo: SUV | Estação: 1 | Funcionário: 4 | Posição na Esteira da Fábrica: 2 | Loja: Loja-3 | Posição na Esteira da Loja: 12
2025-04-07 00:28:25.320 | ID: 41 | Cor: VERDE | Tipo: SEDAN | Estação: 2 | Funcionário: 5 | Posição na Esteira da Fábrica: 2 | Loja: Loja-1 | Posição na Esteira da Loja: 14
2025-04-07 00:28:25.334 | ID: 37 | Cor: VERMELHO | Tipo: SEDAN | Estação: 3 | Funcionário: 1 | Posição na Esteira da Fábrica: 2 | Loja: Loja-2 | Posição na Esteira da Loja: 14
2025-04-07 00:28:25.413 | ID: 40 | Cor: VERMELHO | Tipo: SUV | Estação: 4 | Funcionário: 4 | Posição na Esteira da Fábrica: 2 | Loja: Loja-3 | Posição na Esteira da Loja: 13
2025-04-07 00:28:25.522 | ID: 43 | Cor: VERMELHO | Tipo: SEDAN | Estação: 1 | Funcionário: 2 | Posição na Esteira da Fábrica: 2 | Loja: Loja-1 | Posição na Esteira da Loja: 15
2025-04-07 00:28:25.538 | ID: 46 | Cor: VERMELHO | Tipo: SUV | Estação: 2 | Funcionário: 4 | Posição na Esteira da Fábrica: 1 | Loja: Loja-2 | Posição na Esteira da Loja: 15
2025-04-07 00:28:25.617 | ID: 42 | Cor: AZUL | Tipo: SUV | Estação: 3 | Funcionário: 3 | Posição na Esteira da Fábrica: 2 | Loja: Loja-3 | Posição na Esteira da Loja: 14
2025-04-07 00:28:25.726 | ID: 47 | Cor: VERDE | Tipo: SEDAN | Estação: 4 | Funcionário: 4 | Posição na Esteira da Fábrica: 1 | Loja: Loja-1 | Posição na Esteira da Loja: 16
2025-04-07 00:28:25.844 | ID: 44 | Cor: VERDE | Tipo: SUV | Estação: 1 | Funcionário: 5 | Posição na Esteira da Fábrica: 2 | Loja: Loja-2 | Posição na Esteira da Loja: 16
2025-04-07 00:28:25.846 | ID: 48 | Cor: AZUL | Tipo: SUV | Estação: 2 | Funcionário: 2 | Posição na Esteira da Fábrica: 1 | Loja: Loja-3 | Posição na Esteira da Loja: 15
2025-04-07 00:28:25.929 | ID: 45 | Cor: AZUL | Tipo: SEDAN | Estação: 3 | Funcionário: 1 | Posição na Esteira da Fábrica: 2 | Loja: Loja-1 | Posição na Esteira da Loja: 17
2025-04-07 00:28:26.052 | ID: 49 | Cor: VERMELHO | Tipo: SEDAN | Estação: 4 | Funcionário: 2 | Posição na Esteira da Fábrica: 1 | Loja: Loja-2 | Posição na Esteira da Loja: 17
2025-04-07 00:28:26.346 | ID: 50 | Cor: VERDE | Tipo: SUV | Estação: 1 | Funcionário: 2 | Posição na Esteira da Fábrica: 2 | Loja: Loja-3 | Posição na Esteira da Loja: 16
2025-04-07 00:28:26.347 | ID: 52 | Cor: VERMELHO | Tipo: SUV | Estação: 2 | Funcionário: 4 | Posição na Esteira da Fábrica: 1 | Loja: Loja-1 | Posição na Esteira da Loja: 18
2025-04-07 00:28:26.347 | ID: 51 | Cor: AZUL | Tipo: SEDAN | Estação: 3 | Funcionário: 3 | Posição na Esteira da Fábrica: 1 | Loja: Loja-2 | Posição na Esteira da Loja: 18
2025-04-07 00:28:26.551 | ID: 55 | Cor: VERMELHO | Tipo: SEDAN | Estação: 4 | Funcionário: 3 | Posição na Esteira da Fábrica: 1 | Loja: Loja-1 | Posição na Esteira da Loja: 19
2025-04-07 00:28:26.848 | ID: 54 | Cor: AZUL | Tipo: SUV | Estação: 1 | Funcionário: 4 | Posição na Esteira da Fábrica: 2 | Loja: Loja-3 | Posição na Esteira da Loja: 17
2025-04-07 00:28:26.848 | ID: 57 | Cor: AZUL | Tipo: SEDAN | Estação: 2 | Funcionário: 1 | Posição na Esteira da Fábrica: 1 | Loja: Loja-2 | Posição na Esteira da Loja: 19
