2025-04-07 00:28:25.065 | ID: 45 | Cor: AZUL | Tipo: SEDAN | Estação: 3 | Funcionário: 1 | Posição na Esteira: 2
2025-04-07 00:28:25.089 | ID: 46 | Cor: VERMELHO | Tipo: SUV | Estação: 2 | Funcionário: 4 | Posição na Esteira: 1
2025-04-07 00:28:25.249 | ID: 47 | Cor: VERDE | Tipo: SEDAN | Estação: 4 | Funcionário: 4 | Posição na Esteira: 1
2025-04-07 00:28:25.350 | ID: 48 | Cor: AZUL | Tipo: SUV | Estação: 2 | Funcionário: 2 | Posição na Esteira: 1
2025-04-07 00:28:25.428 | ID: 49 | Cor: VERMELHO | Tipo: SEDAN | Estação: 4 | Funcionário: 2 | Posição na Esteira: 1
2025-04-07 00:28:25.656 | ID: 50 | Cor: VERDE | Tipo: SUV | Estação: 1 | Funcionário: 2 | Posição na Esteira: 2
2025-04-07 00:28:25.866 | ID: 51 | Cor: AZUL | Tipo: SEDAN | Estação: 3 | Funcionário: 3 | Posição na Esteira: 1
2025-04-07 00:28:26.047 | ID: 52 | Cor: VERMELHO | Tipo: SUV | Estação: 2 | Funcionário: 4 | Posição na Esteira: 1
2025-04-07 00:28:26.057 | ID: 53 | Cor: VERDE | Tipo: SEDAN | Estação: 3 | Funcionário: 1 | Posição na Esteira: 2
2025-04-07 00:28:26.111 | ID: 54 | Cor: AZUL | Tipo: SUV | Estação: 1 | Funcionário: 4 | Posição na Esteira: 2
2025-04-07 00:28:26.235 | ID: 55 | Cor: VERMELHO | Tipo: SEDAN | Estação: 4 | Funcionário: 3 | Posição na Esteira: 1
2025-04-07 00:28:26.343 | ID: 56 | Cor: VERDE | Tipo: SUV | Estação: 4 | Funcionário: 5 | Posição na Esteira: 2
2025-04-07 00:28:26.450 | ID: 57 | Cor: AZUL | Tipo: SEDAN | Estação: 2 | Funcionário: 1 | Posição na Esteira: 1
2025-04-07 00:28:26.639 | ID: 58 | Cor: VERMELHO | Tipo: SUV | Estação: 1 | Funcionário: 2 | Posição na Esteira: 2
2025-04-07 00:28:26.956 | ID: 59 | Cor: VERDE | Tipo: SEDAN | Estação: 3 | Funcionário: 3 | Posição na Esteira: 1
2025-04-07 00:28:27.047 | ID: 60 | Cor: AZUL | Tipo: SUV | Estação: 2 | Funcionário: 3 | Posição na Esteira: 1
2025-04-07 00:28:27.139 | ID: 61 | Cor: VERMELHO | Tipo: SEDAN | Estação: 3 | Funcionário: 1 | Posição na Esteira: 2
